indicator;sex;measure_type;measurement;minus_3sd;minus_2sd;minus_1sd;median;plus_1sd;plus_2sd;plus_3sd
BB/PB;P;length_cm;45;1.9;2.1;2.3;2.5;2.7;3;3.3
BB/PB;P;length_cm;45.5;2;2.1;2.3;2.5;2.8;3.1;3.4
BB/PB;P;length_cm;46;2;2.2;2.4;2.6;2.9;3.2;3.5
BB/PB;P;length_cm;46.5;2.1;2.3;2.5;2.7;3;3.3;3.6
BB/PB;P;length_cm;47;2.2;2.4;2.6;2.8;3.1;3.4;3.7
BB/PB;P;length_cm;47.5;2.2;2.4;2.6;2.9;3.2;3.5;3.8
BB/PB;P;length_cm;48;2.3;2.5;2.7;3;3.3;3.6;4
BB/PB;P;length_cm;48.5;2.4;2.6;2.8;3.1;3.4;3.7;4.1
BB/PB;P;length_cm;49;2.4;2.6;2.9;3.2;3.5;3.8;4.2
BB/PB;P;length_cm;49.5;2.5;2.7;3;3.3;3.6;3.9;4.3
BB/PB;P;length_cm;50;2.6;2.8;3.1;3.4;3.7;4;4.5
BB/PB;P;length_cm;50.5;2.7;2.9;3.2;3.5;3.8;4.2;4.6
BB/PB;P;length_cm;51;2.8;3;3.3;3.6;3.9;4.3;4.8
BB/PB;P;length_cm;51.5;2.8;3.1;3.4;3.7;4;4.4;4.9
BB/PB;P;length_cm;52;2.9;3.2;3.5;3.8;4.2;4.6;5.1
BB/PB;P;length_cm;52.5;3;3.3;3.6;3.9;4.3;4.7;5.2
BB/PB;P;length_cm;53;3.1;3.4;3.7;4;4.4;4.9;5.4
BB/PB;P;length_cm;53.5;3.2;3.5;3.8;4.2;4.6;5;5.5
BB/PB;P;length_cm;54;3.3;3.6;3.9;4.3;4.7;5.2;5.7
BB/PB;P;length_cm;54.5;3.4;3.7;4;4.4;4.8;5.3;5.9
BB/PB;P;length_cm;55;3.5;3.8;4.2;4.5;5;5.5;6.1
BB/PB;P;length_cm;55.5;3.6;3.9;4.3;4.7;5.1;5.7;6.3
BB/PB;P;length_cm;56;3.7;4;4.4;4.8;5.3;5.8;6.4
BB/PB;P;length_cm;56.5;3.8;4.1;4.5;5;5.4;6;6.6
BB/PB;P;length_cm;57;3.9;4.3;4.6;5.1;5.6;6.1;6.8
BB/PB;P;length_cm;57.5;4;4.4;4.8;5.2;5.7;6.3;7
BB/PB;P;length_cm;58;4.1;4.5;4.9;5.4;5.9;6.5;7.1
BB/PB;P;length_cm;58.5;4.2;4.6;5;5.5;6;6.6;7.3
BB/PB;P;length_cm;59;4.3;4.7;5.1;5.6;6.2;6.8;7.5
BB/PB;P;length_cm;59.5;4.4;4.8;5.3;5.7;6.3;6.9;7.7
BB/PB;P;length_cm;60;4.5;4.9;5.4;5.9;6.4;7.1;7.8
BB/PB;P;length_cm;60.5;4.6;5;5.5;6;6.6;7.3;8
BB/PB;P;length_cm;61;4.7;5.1;5.6;6.1;6.7;7.4;8.2
BB/PB;P;length_cm;61.5;4.8;5.2;5.7;6.3;6.9;7.6;8.4
BB/PB;P;length_cm;62;4.9;5.3;5.8;6.4;7;7.7;8.5
BB/PB;P;length_cm;62.5;5;5.4;5.9;6.5;7.1;7.8;8.7
BB/PB;P;length_cm;63;5.1;5.5;6;6.6;7.3;8;8.8
BB/PB;P;length_cm;63.5;5.2;5.6;6.2;6.7;7.4;8.1;9
BB/PB;P;length_cm;64;5.3;5.7;6.3;6.9;7.5;8.3;9.1
BB/PB;P;length_cm;64.5;5.4;5.8;6.4;7;7.6;8.4;9.3
BB/PB;P;length_cm;65;5.5;5.9;6.5;7.1;7.8;8.6;9.5
BB/PB;P;length_cm;65.5;5.5;6;6.6;7.2;7.9;8.7;9.6
BB/PB;P;length_cm;66;5.6;6.1;6.7;7.3;8;8.8;9.8
BB/PB;P;length_cm;66.5;5.7;6.2;6.8;7.4;8.1;9;9.9
BB/PB;P;length_cm;67;5.8;6.3;6.9;7.5;8.3;9.1;10
BB/PB;P;length_cm;67.5;5.9;6.4;7;7.6;8.4;9.2;10.2
BB/PB;P;length_cm;68;6;6.5;7.1;7.7;8.5;9.4;10.3
BB/PB;P;length_cm;68.5;6.1;6.6;7.2;7.9;8.6;9.5;10.5
BB/PB;P;length_cm;69;6.1;6.7;7.3;8;8.7;9.6;10.6
BB/PB;P;length_cm;69.5;6.2;6.8;7.4;8.1;8.8;9.7;10.7
BB/PB;P;length_cm;70;6.3;6.9;7.5;8.2;9;9.9;10.9
BB/PB;P;length_cm;70.5;6.4;6.9;7.6;8.3;9.1;10;11
BB/PB;P;length_cm;71;6.5;7;7.7;8.4;9.2;10.1;11.1
BB/PB;P;length_cm;71.5;6.5;7.1;7.7;8.5;9.3;10.2;11.3
BB/PB;P;length_cm;72;6.6;7.2;7.8;8.6;9.4;10.3;11.4
BB/PB;P;length_cm;72.5;6.7;7.3;7.9;8.7;9.5;10.5;11.5
BB/PB;P;length_cm;73;6.8;7.4;8;8.8;9.6;10.6;11.7
BB/PB;P;length_cm;73.5;6.9;7.4;8.1;8.9;9.7;10.7;11.8
BB/PB;P;length_cm;74;6.9;7.5;8.2;9;9.8;10.8;11.9
BB/PB;P;length_cm;74.5;7;7.6;8.3;9.1;9.9;10.9;12
BB/PB;P;length_cm;75;7.1;7.7;8.4;9.1;10;11;12.2
BB/PB;P;length_cm;75.5;7.1;7.8;8.5;9.2;10.1;11.1;12.3
BB/PB;P;length_cm;76;7.2;7.8;8.5;9.3;10.2;11.2;12.4
BB/PB;P;length_cm;76.5;7.3;7.9;8.6;9.4;10.3;11.4;12.5
BB/PB;P;length_cm;77;7.4;8;8.7;9.5;10.4;11.5;12.6
BB/PB;P;length_cm;77.5;7.4;8.1;8.8;9.6;10.5;11.6;12.8
BB/PB;P;length_cm;78;7.5;8.2;8.9;9.7;10.6;11.7;12.9
BB/PB;P;length_cm;78.5;7.6;8.2;9;9.8;10.7;11.8;13
BB/PB;P;length_cm;79;7.7;8.3;9.1;9.9;10.8;11.9;13.1
BB/PB;P;length_cm;79.5;7.7;8.4;9.1;10;10.9;12;13.3
BB/PB;P;length_cm;80;7.8;8.5;9.2;10.1;11;12.1;13.4
BB/PB;P;length_cm;80.5;7.9;8.6;9.3;10.2;11.2;12.3;13.5
BB/PB;P;length_cm;81;8;8.7;9.4;10.3;11.3;12.4;13.7
BB/PB;P;length_cm;81.5;8.1;8.8;9.5;10.4;11.4;12.5;13.8
BB/PB;P;length_cm;82;8.1;8.8;9.6;10.5;11.5;12.6;13.9
BB/PB;P;length_cm;82.5;8.2;8.9;9.7;10.6;11.6;12.8;14.1
BB/PB;P;length_cm;83;8.3;9;9.8;10.7;11.8;12.9;14.2
BB/PB;P;length_cm;83.5;8.4;9.1;9.9;10.9;11.9;13.1;14.4
BB/PB;P;length_cm;84;8.5;9.2;10.1;11;12;13.2;14.5
BB/PB;P;length_cm;84.5;8.6;9.3;10.2;11.1;12.1;13.3;14.7
BB/PB;P;length_cm;85;8.7;9.4;10.3;11.2;12.3;13.5;14.9
BB/PB;P;length_cm;85.5;8.8;9.5;10.4;11.3;12.4;13.6;15
BB/PB;P;length_cm;86;8.9;9.7;10.5;11.5;12.6;13.8;15.2
BB/PB;P;length_cm;86.5;9;9.8;10.6;11.6;12.7;13.9;15.4
BB/PB;P;length_cm;87;9.1;9.9;10.7;11.7;12.8;14.1;15.5
BB/PB;P;length_cm;87.5;9.2;10;10.9;11.8;13;14.2;15.7
BB/PB;P;length_cm;88;9.3;10.1;11;12;13.1;14.4;15.9
BB/PB;P;length_cm;88.5;9.4;10.2;11.1;12.1;13.2;14.5;16
BB/PB;P;length_cm;89;9.5;10.3;11.2;12.2;13.4;14.7;16.2
BB/PB;P;length_cm;89.5;9.6;10.4;11.3;12.3;13.5;14.8;16.4
